Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
ALBENDAZOLE;;3.4610000000000003;II/IV;II;II;400.0;0.01;II/IV
AMIODARONE;;8.94;;II;II;400.0;0.7;
AMITRIPTYLINE;;4.85;I/II;I;I;75.0;0.9;I
AMLODIPINE;;3.43;;I/III;I;5.0;1.97;I
AMODIAQUINE;;4.94;;I;III;200.0;3.2;I/III
ARTEMETHER;;3.05;II/IV;I;II/IV;20.0;1.0;III/IV
ARTESUNATE;;2.93;;II;II/IV;50.0;0.1;II/IV
ATAZANAVIR;;5.92;;II;IV;300.0;1.0;
BICALUTAMIDE;;2.71;;II;II;50.0;0.005;
BIPERIDEN HYDROCHLORIDE;;4.94;III;I;I;2.0;1.0;I/III
CHLORAMBUCIL;;3.63;;I;I;2.0;0.01;I/III
CHLOROQUINE ;2.0;5.06;I;I;I;150.0;100.0;I
CHLORPROMAZINE HYDROCHLORIDE;11.8;5.8;II/IV;I;I;100.0;50.0;III
CLINDAMYCIN HYDROCHLORIDE;;2.57;;I/III;I;150.0;40.0;I
CLOFAZIMINE;2.58;7.5;II/IV;II;II/IV;100.0;0.052000000000000005;III/IV
CLOMIPHENE CITRATE;;7.15;I/III;I;I;50.0;1.06;I/III
CLOMIPRAMINE;;5.92;I/III;;I;25.0;100.0;I/III
CLOPIDOGREL;;4.21;;I;II;300.0;0.051;
CLOZAPINE;;3.71;;II;II;200.0;0.19;
CYCLIZINE;;3.8;;I;I;50.0;8.7;
CYCLOSPORINE;0.3;11.5;;II;II;50.0;0.01;III/IV
DACLATASVIR;44.2;4.72;;II;IV;60.0;0.004;
DASABUVIR;;4.07;;II;II;250.0;0.01;
DELAMANID;;5.25;;II;II;50.0;0.1;
DESIPRAMINE;14.6;4.47;;I;I;150.0;25.0;
DIAZEPAM;;3.17;I;II;I;10.0;0.05;I
EFAVIRENZ;;4.95;II/IV;II;II;0.33;0.005;II/IV
ETHINYL ESTRADIOL;;3.86;I/III;I;I;0.03;0.01;I/III
FLUVASTATIN;;4.05;;I;I;40.0;2.0;
HALOPERIDOL;;3.85;II/IV;II;II;5.0;0.01;III/IV
HYDROXYCHLOROQUINE SULFATE;;4.12;;I;I;200.0;20.0;
IMATINIB;;4.53;;II;II;400.0;0.04;
ISOTRETINOIN;;6.74;;II;II;40.0;0.01;
IVERMECTIN;;5.38;II/IV;II;II;3.0;0.0007;II/IV
KETOPROFEN;19.1;2.76;;II;II;75.0;0.18;
LEDIPASVIR;;6.77;;II;;90.0;0.0018;
LEVONORGESTREL;;3.31;I;I;I;1.5;0.01;I
LEVOTHYROXINE SODIUM SALT;;3.51;III;I;III;0.3;0.12;III
LOPERAMIDE;5.8;4.66;;I;III;2.0;1.4;
LOPINAVIR;;6.1;II/IV;II;II;200.0;0.01;II/IV
LORATADINE;9.1;5.05;;II;II;10.0;0.01;
LOSARTAN;;5.02;;I;IV;100.0;0.048;
LUMEFANTRINE;;10.2;II/IV;I;II/IV;120.0;1.0;III/IV
MEDROXYPROGESTERONE ACETATE;;4.2;;II;IV;5.0;0.022;I/III
MEFLOQUINE;;3.67;II/IV;I;II;250.0;0.303;II/IV
METOCLOPRAMIDE HYDROCHLORIDE;;2.23;I/III;I/III;III;10.0;0.04;III
MIDAZOLAM;10.0;3.42;;I;I;15.0;0.27;
MISOPROSTOL;;3.07;;I;I/III;0.2;0.002;III/IV
NEVIRAPINE;;2.42;II;II;II;200.0;0.1;II
NIFEDIPINE;11.0;3.41;II;II;II;10.0;0.008;II
OMEPRAZOLE;;2.56;;I;I;40.0;0.5;
ONDANSETRON;;2.72;;I/III;I;8.0;5.7;
PREDNISOLONE;5.7;3.5;I;I;I;25.0;0.24;I
PRIMAQUINE;;2.6;I;I/III;I;15.0;8.8;I
PROPRANOLOL;23.5;2.75;I;I;I;40.0;39.52;I
PYRANTEL;;3.03;II/IV;II;II;250.0;0.5;II/IV
PYRIMETHAMINE;;3.0;II/IV;II/IV;I/III;25.0;0.12;III/IV
QUININE SULFATE;;2.79;I/III;I;I;300.0;1.3;I
RIFABUTIN;63.2;4.73;;II;II/IV;150.0;0.19;
RIFAMPICIN;1.6;4.03;II;II;II;300.0;0.64;II
RIFAPENTINE;19.3;5.41;;II;II;150.0;0.11;
RISPERIDONE;;2.71;;I;I;6.0;0.08;
RITONAVIR;;4.94;IV;II;II;100.0;0.01;II/IV
SIMEPREVIR;;5.95;;II;II;150.0;0.01;
SIMVASTATIN;;3.64;;II;II;40.0;0.03;
SPIRONOLACTONE;;2.25;II/IV;II;II;25.0;0.02;III/IV
TALINOLOL;;3.15;;I;III;100.0;4.5;
TAMOXIFEN;;6.82;;I;I;20.0;0.5;I
VERAPAMIL;9.7;4.47;I/II;I;I;120.0;11.0;II
RETINOL;;6.4;II/IV;II;II;110.0;0.01;II/IV
ERGOCALCIFEROL;;6.59;III;;III;1.25;0.05;III
WARFARIN SODIUM;12.3;2.9;I/II;I;II;0.1;0.018000000000000002;I
RETINOIC ACID;;6.74;;II;II;40.0;0.07;
ALPRAZOLAM;;2.55;;I;I;3.0;0.073;
BISACODYL;;2.85;;II;II/IV;5.0;0.01;
BROMOCRIPTINE MESYLATE;;6.58;;I;I/III;5.0;0.8;
CABERGOLINE;;4.17;;I/III;I/III;1.0;0.01;
CARVEDILOL;;4.04;;II;II;25.0;0.003;
CYPROHEPTADINE;;5.3;;I;I;4.0;3.64;I
CYPROTERONE ACETATE;;3.42;;II;II;50.0;0.01;
CLOBAZAM;;2.44;;I;I;20.0;0.188;
CLOMIPHENE;;7.15;I/III;I;I;50.0;1.06;I/III
CLONAZEPAM;;2.38;;I;I;2.0;0.1;
NILOTINIB CHLORHYDRATE;;5.84;;II;II/IV;200.0;0.005;
CHLORDIAZEPOXIDE;;2.4;;I;I;25.0;1.99;
CHLORPROMAZINE;11.8;5.8;II/IV;I;I;200.0;50.0;III
DEXCHLORPHENIRAMINE;;3.15;I/III;I;I;4.0;;
DIETHYLSTILBESTROL;;4.96;;I;II;5.0;0.02;
DIPHENHYDRAMINE;;3.45;;I;I;50.0;3.06;
DILTIAZEM;18.5;3.65;;I;I;120.0;0.51;
DOMPERIDONE;;4.27;;II;II;20.0;0.017;
EVEROLIMUS;;7.1;;I;III;1.0;0.01;
FLECAINIDE;;3.66;;I;I;150.0;48.4;
FLUPHENAZINE;;4.11;;II;II;10.0;0.031;
FLUTAMIDE;;3.33;;II;II;250.0;0.0095;
GLIBENCLAMIDE;;4.24;II/IV;II;II;10.0;0.01;II/IV
GLIMEPIRIDE;;3.96;;II;II;4.0;0.0012;
IMIPRAMINE;12.9;5.04;;II;II;50.0;0.0182;
INDINAVIR;;3.68;IV;I;II;400.0;0.07;II/IV
INDOMETHACIN;6.3;4.18;;II;II;50.0;0.0025;
ITRACONAZOLE;;5.99;;II;II;100.0;0.01;
KETOCONAZOLE;3.3;3.64;;II;II;200.0;0.08;
KETOTIFEN;;3.59;;I/III;I/III;1.0;1.0;
LAMOTRIGINE;;2.53;;II;II;200.0;0.17;
LEVOMEPROMAZINE;;4.83;;II;II;25.0;0.02;
MECLIZINE;;6.73;;II;II/IV;50.0;0.01;
MEDAZEPAM;;4.12;;II;II/IV;10.0;0.01;
METHANDIENONE;;4.1;;II;II;25.0;0.01;
MONTELUKAST;;8.47;;I;II;10.0;0.01;
NIMODIPINE;;4.0;;II;II;30.0;0.0023;
NITRAZEPAM;;2.32;;I/III;I/III;10.0;0.043;
OLANZAPINE;;3.88;;II;II;20.0;0.01;
OXYBUTYNIN;;4.87;;I;I;10.0;0.8;
PIMOZIDE;;6.4;;II;II/IV;4.0;0.003;
PROPAFENONE;;3.64;;II;II;300.0;0.1;
QUINACRINE;;6.72;;I;I;300.0;10.0;
SERTRALINE;;5.35;;I;I;100.0;3.8;
TACROLIMUS;;5.78;;II;II;5.0;0.012;
THIORIDAZINE;;6.0;;I;III;200.0;1.0;
TIPRANAVIR;;7.67;;II;II;500.0;0.01;
TRAMADOL;;3.1;;I;I;50.0;30.0;
TRIFLUOPERAZINE;;4.69;;I;I;10.0;50.0;
TRIHEXIPHENYDIL;;5.15;;I;I;5.0;1.0;
